"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","pide","willing_friend_ai_1","willing_romantic_ai_1","wtp_ai","true_ai_1","talk_listen_ai_1","not_judge_ai_1","feel_ai_1","understand_ai_1","body_ai_1","not_mutual_ai_1","nonMember_AI_1","willing_friend_h_1","willing_romantic_h_1","wtp_h","true_h_1","talk_listen_h_1","judge_h_1","understand_h_1","feel_h_1","body_h_1","mutual_h_1","nonMember_h_1","comp_1","comp_2","loneliness_1_1","loneliness_2_1","loneliness_3_1","sensation_1_1","sensation_2_1","sensation_3_1","sensation_4_1","sensation_5_1","sensation_6_1","sensation_7_1","sensation_8_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","PROLIFIC_PID","CONDITION"
"1",1,"Start Date","End Date","Response Type","Anonymized","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Anonymized","Anonymized","Distribution Channel","User Language","Do you consent","This is an attention check. John is taller than Paul. Who is shorter?","What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","Anonymized","How willing would you be to try to find a friend on Chatty?","How willing would you be to try to find a romantic partner on Chatty?","Imagine that you try out Chatty for a year, and that Chatty has a monthly subscription fee. How much would you be willing to pay per month? (typical apps cost anywhere between $0.00c and $10.00 per month.)



Please enter only the amount, without the dollar sign.","How much do you agree with the following statement?

 
Any relationship with an AI on Chatty would not be a true relationship.","How much do you agree with the following statement? 

 
An AI on Chatty would always be there to talk and listen to you.","How much do you agree with the following statement? 


An AI on Chatty would always be on your side and not judge you.","How much do you agree with the following statement? 

 
An AI on Chatty is unable to feel emotions.","How much do you agree with the following statement? 


An AI on Chatty is unable to understand what you are saying.","How much do you agree with the following statement? 


An AI on Chatty cannot provide physical intimacy.","How much do you agree with the following statement? 


A relationship with an AI on Chatty would be one-sided, not mutual.","Does the following sound weird or OK to you?   


There’s a sense in which being friends with an AI on Chatty is a relationship, but ultimately, if you think about what it really means to be in a relationship, you’d have to say that there is a sense in which being friends with an AI on Chatty is not a relationship at all.","How willing would you be to try to find a friend on Chatty?","How willing would you be to try to find a romantic partner on Chatty?","Imagine that you try out Chatty for a year, and that Chatty has a monthly subscription fee. How much would you be willing to pay per month? (typical apps cost anywhere between $0.00c and $10.00 per month.)



Please enter only the amount, without the dollar sign.","How much do you agree with the following statement?

 
Any relationship with a person on Chatty would not be a true relationship.","How much do you agree with the following statement? 

 
A person on Chatty would always be there to talk and listen to you.","How much do you agree with the following statement? 


A person on Chatty would always be on your side and not judge you.","How much do you agree with the following statement? 


A person on Chatty is unable to understand what you are saying.","How much do you agree with the following statement? 


A person on Chatty is unable to feel emotions.","How much do you agree with the following statement? 


A person on Chatty cannot provide physical intimacy.","How much do you agree with the following statement? 


A relationship with a person on Chatty would be one-sided, not mutual.","Does the following sound weird or OK to you?   


There’s a sense in which being friends with a person on Chatty is a relationship, but ultimately, if you think about what it really means to be in a relationship, you’d have to say that there is a sense in which being friends with a person on Chatty is not a relationship at all.","You were shown a picture on a computer screen in a previous question. What did the picture represent?","What is Chatty?","How often do you feel that you lack companionship?","How often do you feel left out?","How often do you feel isolated from others?","I would like to explore strange places.","I get restless when I spend too much time at home.","I like to do frightening things.","I like wild parties.","I would like to take off on a trip with no pre-planned routes or timetables.","I prefer friends who are excitingly unpredictable.","I would like to try bungee jumping.","I would love to have new and exciting experiences, even if they are illegal.","Before this survey, have you ever used an artificial intelligence (AI) companion app before?","If you answered ‘yes’ above, please explain.","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","What is the highest level of education you have completed? - Selected Choice","What is the highest level of education you have completed? - Other (please specify) - Text","How capable do you think artificial intelligence (AI) is of becoming as intelligent as human beings?","Anonymized","CONDITION"
"2",2,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","Anonymized","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","Anonymized","Anonymized","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","Anonymized","{""ImportId"":""QID2_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID59_1""}","Anonymized","{""ImportId"":""CONDITION""}"
"3",3,"2023-08-27 10:33:15","2023-08-27 10:37:58","0","Anonymized","100","282","1","2023-08-27 10:37:59","R_2s6CIpaLV2MWngm","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","78","85","10","58","74","61","30","32","76","25","68","1","2","0","0","0","65","16","64","31","71","53","1","0","2","","1","","6","Cajun","56","4","","71","Anonymized","2"
"4",4,"2023-08-27 10:37:26","2023-08-27 10:41:27","0","Anonymized","100","240","1","2023-08-27 10:41:27","R_9uwoMvMVWj2i2Cl","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","58","0","2","91","91","69","87","76","100","100","100","","","","","","","","","","","","1","2","76","77","100","83","100","65","86","35","33","21","61","2","","2","","3","","21","3","","70","Anonymized","1"
"5",5,"2023-08-27 10:38:30","2023-08-27 10:42:05","0","Anonymized","100","215","1","2023-08-27 10:42:06","R_2xzTjsGWbfYnWmn","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","73","40","3","48","63","45","32","49","87","63","38","1","2","86","85","81","82","27","51","9","68","67","79","76","2","","2","","2","","27","4","","71","Anonymized","2"
"6",6,"2023-08-27 10:40:50","2023-08-27 10:45:27","0","Anonymized","100","276","1","2023-08-27 10:45:27","R_Zs0VNhC9GPisfCN","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","23","12","5","75","85","75","70","19","97","95","65","","","","","","","","","","","","2","2","18","38","62","63","41","33","2","63","37","26","34","2","","1","","3","","39","3","","77","Anonymized","1"
"7",7,"2023-08-27 10:44:02","2023-08-27 10:48:03","0","Anonymized","100","240","1","2023-08-27 10:48:04","R_1d0008uQIuqCu6r","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","70","0","5","0","0","0","0","0","100","20","80","1","2","96","0","92","93","100","29","0","100","31","0","0","2","","2","","3","","64","3","","0","Anonymized","2"
"8",8,"2023-08-27 10:45:45","2023-08-27 10:49:02","0","Anonymized","100","197","1","2023-08-27 10:49:03","R_DhL3Di4cAvVdesV","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","75","0","2.99","75","100","100","100","100","100","90","80","","","","","","","","","","","","2","2","100","85","100","100","30","45","60","100","71","0","60","2","","2","","3","","35","1","","75","Anonymized","1"
"9",9,"2023-08-27 10:46:49","2023-08-27 10:49:51","0","Anonymized","100","182","1","2023-08-27 10:49:52","R_OpYDeNzkwBlIrIt","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","45","55","1.00","40","60","30","10","25","50","25","3","1","2","20","30","20","50","60","30","50","25","50","50","10","2","","2","","3","","22","4","","25","Anonymized","2"
"10",10,"2023-08-27 10:45:52","2023-08-27 10:50:13","0","Anonymized","100","260","1","2023-08-27 10:50:14","R_2pWtCFGPGkpf63Z","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","20","0","0","18","60","20","0","0","81","19","19","1","2","13","14","8","61","18","0","0","71","0","0","0","2","","2","","3","","65","5","","61","Anonymized","2"
"11",11,"2023-08-27 10:48:15","2023-08-27 10:52:07","0","Anonymized","100","232","1","2023-08-27 10:52:08","R_2fwAzIzp7IKSWVX","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","18","25","0","87","84","38","74","34","94","84","47","","","","","","","","","","","","1","2","31","33","71","81","88","68","90","86","59","85","80","2","","2","","3","","27","4","","100","Anonymized","1"
"12",12,"2023-08-27 10:48:23","2023-08-27 10:52:11","0","Anonymized","100","228","1","2023-08-27 10:52:12","R_BrhDDtRgEIruOTD","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","50","50","5.00","81","50","91","82","25","73","26","15","","","","","","","","","","","","1","2","100","100","100","79","76","75","76","75","77","99","91","2","","1","","3","","45","3","","66","Anonymized","1"
"13",13,"2023-08-27 10:48:09","2023-08-27 10:52:24","0","Anonymized","100","254","1","2023-08-27 10:52:24","R_6gMIsvImuVfl2V3","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","61","10","1","73","85","70","25","27","82","40","25","","","","","","","","","","","","2","2","22","76","78","75","19","17","13","0","0","0","73","2","","2","","3","","24","1","","93","Anonymized","1"
"14",14,"2023-08-27 10:48:34","2023-08-27 10:52:48","0","Anonymized","100","254","1","2023-08-27 10:52:49","R_us4Lnyy1g3XyciR","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","11","0","0.50","83","60","72","6","5","0","89","67","1","2","10","25","58","65","100","8","0","36","17","0","55","2","","2","","3","","37","3","","58","Anonymized","2"
"15",15,"2023-08-27 10:51:45","2023-08-27 10:54:11","0","Anonymized","100","145","1","2023-08-27 10:54:12","R_3lKZTIpiVzB33ee","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","60","60","0","38","39","25","35","33","100","14","0","1","2","26","14","23","80","30","60","10","75","50","29","15","2","","1","","5","","25","1","","100","Anonymized","2"
"16",16,"2023-08-27 10:51:04","2023-08-27 10:54:29","0","Anonymized","100","204","1","2023-08-27 10:54:29","R_12flwesZkNcpfuh","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","","","","","","","","","","","","18","5","0","32","52","30","23","8","100","36","33","1","2","31","67","70","28","74","13","13","7","50","58","20","2","","2","","3","","28","4","","55","Anonymized","2"
"17",17,"2023-08-27 10:51:27","2023-08-27 10:54:30","0","Anonymized","100","182","1","2023-08-27 10:54:30","R_xbzYbA8zgPbN9kZ","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","40","0","2","100","95","50","100","98","100","100","10","","","","","","","","","","","","2","2","12","6","4","79","10","50","6","90","10","1","7","2","","2","","3","","44","2","","9","Anonymized","1"
