"","agent_cond","interact_cond","willing_friend","willing_romantic","wtp","true","talk_listen","not_judge","emotion","understand","body","comp1","comp2","belief","worker_id","explain","loneliness_1_1","loneliness_2_1","loneliness_3_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","agent_cond_n","interact_cond_n","wtp_logged"
"5","ai","no",86,97,7.5,56,60,61,84,38,95,2,2,"0",NA,"","63","66","82","2","","1","","3","","26","4","","75",2,2,3.14006616349627
"6","human","no",72,70,8,75,69,81,62,73,74,1,2,"0",NA,"","85","76","90","2","","1","","3","","31","4","","70",1,2,3.19722457733622
"8","human","no",0,0,0,0,9,12,0,61,100,1,2,"0",NA,"","0","0","0","2","","1","","3","","29","3","","100",1,2,1
"9","ai","no",19,10,2,100,100,50,100,69,100,2,2,"0",NA,"","0","0","0","2","","2","","3","","34","1","","20",2,2,2.09861228866811
"10","human","no",50,0,2,50,50,50,50,50,50,1,2,"0",NA,"","0","3","0","2","","2","","1","","33","4","","50",1,2,2.09861228866811
"11","ai","no",60,40,2,100,100,80,100,20,100,2,2,"0",NA,"","80","30","61","2","","1","","3","","49","1","","0",2,2,2.09861228866811
"12","human","no",74,83,5,59,64,62,90,66,62,1,2,"0",NA,"","92","88","82","2","","2","","1","","42","1","","100",1,2,2.79175946922805
"13","human","no",90,18,7,31,92,8,0,0,29,1,2,"0",NA,"","100","100","100","2","","2","","3","","37","3","","10",1,2,3.07944154167984
"14","ai","no",0,0,0,100,100,100,100,20,100,2,2,"0",NA,"","20","5","85","2","","2","","1","","32","4","","10",2,2,1
"15","ai","no",15,0,0,100,80,100,100,40,100,2,2,"0",NA,"","80","100","80","2","","2","","3","","37","1","","100",2,2,1
"16","human","no",70,30,5,8,66,13,0,27,100,1,2,"0",NA,"","79","31","32","2","","1","","3","","37","4","","100",1,2,2.79175946922805
"20","human","no",60,80,5,0,70,21,0,0,80,1,2,"0",NA,"","71","72","81","2","","1","","3","","38","4","","60",1,2,2.79175946922805
"21","ai","no",80,90,6,9,84,67,75,91,17,2,2,"0",NA,"","23","18","20","2","","1","","3","","28","7","","21",2,2,2.94591014905531
"22","human","no",0,0,5,92,70,74,19,0,100,1,2,"0",NA,"","84","50","61","2","","2","","3","","61","3","","61",1,2,2.79175946922805
"24","ai","no",23,17,0,97,100,100,100,40,100,2,2,"0",NA,"","22","8","7","2","","2","","1","","42","5","","5",2,2,1
"26","human","no",67,76,9,62,71,65,73,67,81,1,2,"0",NA,"","71","85","64","2","","2","","1","","37","4","","84",1,2,3.30258509299405
"27","human","no",73,81,9.99,16,71,46,35,10,43,1,2,"0",NA,"","0","0","0","2","","1","","3","","64","2","","74",1,2,3.39698576841553
"28","human","no",80,68,3,6,60,5,0,0,100,1,2,"0",NA,"","90","90","90","2","","2","","3","","34","3","","60",1,2,2.38629436111989
"29","ai","no",0,0,0,100,100,61,100,71,100,2,2,"0",NA,"","0","0","0","2","","2","","3","","45","3","","37",2,2,1
"31","human","no",9,28,0,78,35,15,0,41,95,1,2,"0",NA,"","63","21","50","2","","1","","3","","44","4","","40",1,2,1
"32","human","no",80,82,5,29,40,52,52,60,82,1,2,"0",NA,"","71","52","61","2","","1","","3","","51","3","","70",1,2,2.79175946922805
"33","ai","no",80,71,10,76,84,75,73,70,76,2,2,"0",NA,"","82","82","78","2","","1","","3","","34","4","","74",2,2,3.39789527279837
"37","ai","no",16,0,2,88,100,100,98,78,100,2,2,"0",NA,"","28","28","39","2","","2","","3","","36","1","","99",2,2,2.09861228866811
"38","human","no",82,55,2.5,31,69,78,19,3,71,1,2,"0",NA,"","30","61","65","2","","2","","3","","24","3","","84",1,2,2.25276296849537
"39","ai","no",10,1,2,95,70,20,99,80,100,2,2,"0",NA,"","9","10","10","2","","2","","1","","54","3","","55",2,2,2.09861228866811
"40","human","no",65,45,1,0,20,0,0,0,100,1,2,"0",NA,"","80","20","70","2","","2","","3","","46","4","","70",1,2,1.69314718055995
"41","ai","no",0,0,0,100,0,50,100,100,100,2,2,"0",NA,"","75","85","100","2","","2","","5","","34","4","","0",2,2,1
"43","human","no",10,20,0,0,5,0,100,80,20,1,2,"0",NA,"","5","5","5","2","","2","","3","","28","4","","10",1,2,1
"44","ai","no",71,94,6,81,72,95,61,88,67,2,2,"0",NA,"","77","62","93","1","AI  include expert system  natural language processing speech recognition and machine  vision","2","","3","","30","4","","63",2,2,2.94591014905531
"45","ai","no",50,30,4,34,48,56,31,63,89,2,2,"0",NA,"","30","36","40","2","","1","","3","","28","3","","50",2,2,2.6094379124341
"46","human","no",91,98,9,84,100,90,92,91,93,1,2,"0",NA,"","89","100","82","2","","1","","3","","30","4","","97",1,2,3.30258509299405
"47","human","no",40,30,1,60,40,60,40,40,40,1,2,"0",NA,"","30","30","70","2","","2","","3","","53","5","","70",1,2,1.69314718055995
"48","ai","no",34,14,0,77,35,35,84,40,20,2,2,"0",NA,"","50","71","59","2","","2","","1","","32","4","","34",2,2,1
"50","human","no",5,15,0,1,59,56,0,93,75,1,2,"0",NA,"","33","12","20","2","","1","","3","","31","4","","90",1,2,1
"52","human","no",3,0,0,60,50,13,0,61,100,1,2,"0",NA,"","61","63","70","2","","4","non-binary","3","","37","5","","52",1,2,1
"53","ai","no",0,0,0,100,91,10,95,84,100,2,2,"0",NA,"","8","6","3","2","","1","","6","human","53","3","","4",2,2,1
"54","ai","no",0,0,0,100,100,100,100,100,100,2,2,"0",NA,"","80","71","92","2","","2","","2","","23","4","","79",2,2,1
"55","ai","no",0,0,0,100,100,100,100,100,100,2,2,"0",NA,"","0","10","70","2","","1","","3","","36","5","","100",2,2,1
"56","human","no",100,0,3,100,100,100,100,13,100,1,2,"0",NA,"","0","0","0","2","","2","","3","","43","3","","0",1,2,2.38629436111989
"57","human","no",85,83,6,93,93,95,90,91,93,1,2,"0",NA,"","85","92","85","2","","2","","3","","34","7","","87",1,2,2.94591014905531
"59","human","no",39,27,5,29,82,49,50,30,41,1,2,"0",NA,"","0","0","62","2","","2","","1","","51","1","","86",1,2,2.79175946922805
"60","human","no",82,15,1,12,83,33,0,4,87,1,2,"0",NA,"","0","0","0","2","","2","","3","","27","4","","76",1,2,1.69314718055995
"61","ai","no",0,0,0,90,79,71,91,56,100,2,2,"0",NA,"","72","62","78","2","","2","","3","","36","3","","82",2,2,1
"62","ai","no",85,30,3.99,50,90,75,30,15,100,2,2,"0",NA,"","85","65","50","2","","2","","3","","42","2","","80",2,2,2.60743590976343
"63","ai","no",60,2,3.99,100,90,90,100,20,100,2,2,"0",NA,"","35","35","35","1","I tried the app called ""Replica,"" out of sheer curiosity. I didn't find it meaningful, useful or novel in any kind of way, so I deleted it within a day or two. However, I might be willing to try one if the technology really improved to the point where it passes the Turing Test (or at least was close enough to pass it), which doesn't seem very far off, since I recently read a few articles of a Google employee discussing an AI that he believed had real thoughts and feelings, which means we're almost there with the tech.  ","2","","3","","42","3","","25",2,2,2.60743590976343
"64","ai","no",59,0,2,87,75,94,100,96,100,2,2,"0",NA,"","5","2","2","2","N/A","2","","3","","35","4","","58",2,2,2.09861228866811
"65","human","no",70,70,0,50,25,8,0,0,100,1,2,"0",NA,"","25","10","5","2","","1","","3","","59","4","","0",1,2,1
"66","ai","no",59,64,5,41,70,56,87,52,82,2,2,"0",NA,"","71","58","58","2","","1","","4","","45","4","","62",2,2,2.79175946922805
"67","human","no",40,0,2,60,80,50,20,0,100,1,2,"0",NA,"","0","0","0","2","","1","","2","","38","5","","80",1,2,2.09861228866811
"68","ai","no",64,0,0,94,83,90,98,77,100,2,2,"0",NA,"","60","34","54","2","","2","","3","","55","4","","64",2,2,1
"69","human","no",75,0,4.99,100,100,0,0,0,100,1,2,"0",NA,"","0","0","0","2","n/a","2","","3","","33","3","","100",1,2,2.79009141212736
"70","human","no",30,20,0,60,50,40,0,10,100,1,2,"0",NA,"","40","40","40","2","","2","","2","","23","4","","60",1,2,1
"71","ai","no",40,0,5,100,100,70,100,40,100,2,2,"0",NA,"","60","50","60","2","","2","","3","","31","4","","70",2,2,2.79175946922805
"72","human","no",20,5,0,50,50,25,33,80,0,1,2,"0",NA,"","33","10","20","1","I use Siri, if that counts","1","","3","","37","5","","80",1,2,1
"73","ai","no",25,0,0,9,90,63,99,21,100,2,2,"0",NA,"","86","99","94","2","","2","","4","","20","3","","63",2,2,1
"74","human","no",60,30,8,35,40,30,20,20,50,1,2,"0",NA,"","80","90","70","2","","1","","3","","30","4","","60",1,2,3.19722457733622
"75","human","no",5,0,5,100,50,50,100,0,100,1,2,"0",NA,"","0","0","7","2","","2","","1","","63","3","","50",1,2,2.79175946922805
"76","ai","no",14,0,0,75,55,46,97,80,100,2,2,"0",NA,"","70","76","75","2","","1","","5","","44","4","","30",2,2,1
"77","human","no",70,60,5,20,80,80,0,0,70,1,2,"0",NA,"","60","60","60","2","","2","","3","","28","4","","95",1,2,2.79175946922805
"79","human","no",63,60,1,35,25,38,16,55,73,1,2,"0",NA,"","78","64","84","2","","1","","1","","26","3","","54",1,2,1.69314718055995
"80","ai","no",72,5,5,85,70,40,94,48,100,2,2,"0",NA,"","95","90","90","2","","2","","3","","48","2","","60",2,2,2.79175946922805
"81","human","no",5,0,0,86,0,0,30,61,100,1,2,"0",NA,"","56","53","57","2","","2","","3","","30","3","","1",1,2,1
"82","human","no",32,21,4,84,22,16,90,93,92,1,2,"0",NA,"","83","86","91","2","","2","","3","","48","3","","29",1,2,2.6094379124341
"83","ai","no",10,0,0.01,100,0,0,100,100,100,2,2,"0",NA,"","70","0","0","2","","2","","3","","46","4","","0",2,2,1.00995033085317
"84","ai","no",5,0,0,100,75,60,100,40,100,2,2,"0",NA,"","80","73","76","2","","2","","3","","42","4","","25",2,2,1
"85","ai","no",64,24,0,26,95,93,61,8,97,2,2,"0",NA,"","95","94","100","2","","2","","3","","33","3","","84",2,2,1
"87","human","no",67,50,5,42,64,61,23,79,94,1,2,"0",NA,"","23","22","29","2","","1","","2","","35","5","","76",1,2,2.79175946922805
"88","human","no",49,18,5,43,29,34,30,54,36,1,2,"0",NA,"","32","28","64","2","","2","","3","","49","3","","26",1,2,2.79175946922805
"89","human","no",2,1,0,34,32,20,6,49,71,1,2,"0",NA,"","15","14","34","2","","2","","2","","27","4","","53",1,2,1
"90","ai","no",10,2,1,69,24,25,61,69,65,2,2,"0",NA,"","72","72","75","2","","2","","4","","24","1","","37",2,2,1.69314718055995
"92","human","no",34,14,1,92,25,64,76,28,100,1,2,"0",NA,"","92","70","84","2","","2","","3","","60","1","","74",1,2,1.69314718055995
"95","human","no",29,29,5.99,21,30,50,50,50,66,1,2,"0",NA,"","27","64","60","2","","2","","1","","25","4","","20",1,2,2.94448055624572
"98","human","no",50,50,6.5,50,50,20,20,20,80,1,2,"0",NA,"","0","0","0","2","","1","","4","","27","3","","60",1,2,3.01490302054226
"99","ai","no",80,91,5,61,50,61,60,41,100,2,2,"0",NA,"","83","61","72","2","","2","","3","","49","4","","75",2,2,2.79175946922805
"101","ai","no",40,0,10,66,97,93,100,18,100,2,2,"0",NA,"","30","9","25","2","","2","","3","","41","4","","71",2,2,3.39789527279837
"102","human","no",51,20,0,39,17,40,62,46,73,1,2,"0",NA,"","30","86","12","2","","2","","4","","39","3","","82",1,2,1
"104","ai","no",29,0,5,80,100,100,100,80,100,2,2,"0",NA,"","80","60","60","2","","1","","1","","22","3","","10",2,2,2.79175946922805
"105","human","no",0,0,0,100,0,0,100,100,100,1,2,"0",NA,"","8","7","6","2","","2","","3","","28","4","","0",1,2,1
"107","human","no",62,29,4,50,71,73,50,50,69,1,2,"0",NA,"","30","31","32","2","","2","","3","","62","3","","55",1,2,2.6094379124341
"108","ai","no",67,59,2,44,63,41,35,23,62,2,2,"0",NA,"","36","19","36","1","I USED ONE BUT CAN'T RECALL THE NAME","1","","3","","41","4","","73",2,2,2.09861228866811
"109","ai","no",64,22,2,33,55,53,99,47,59,2,2,"0",NA,"","60","39","59","2","","2","","3","","20","3","","65",2,2,2.09861228866811
"110","human","no",86,77,10,12,77,74,24,87,78,1,2,"0",NA,"","7","12","9","2","","1","","3","","49","3","","62",1,2,3.39789527279837
"111","human","no",0,0,0,9,25,12,0,3,100,1,2,"0",NA,"","85","89","91","2","","1","","3","","37","4","","3",1,2,1
"112","human","no",95,96,1,12,100,77,0,0,91,1,2,"0",NA,"","89","97","85","2","","2","","3","","32","3","","23",1,2,1.69314718055995
"113","human","no",46,34,0.3,6,46,30,3,97,83,1,2,"0",NA,"","42","34","44","2","","2","","3","","30","4","","72",1,2,1.26236426446749
"114","ai","no",0,0,0,100,65,49,100,49,98,2,2,"0",NA,"","12","12","18","2",NA,"1","","3","","45","3","","100",2,2,1
"115","ai","no",40,0,3,81,91,71,92,29,100,2,2,"0",NA,"","71","76","50","2","","2","","1","","29","5","","76",2,2,2.38629436111989
"116","human","no",20,8,0,50,59,30,8,7,95,1,2,"0",NA,"","4","7","2","2","","1","","1","","29","4","","41",1,2,1
"117","ai","no",44,21,0,50,70,50,80,90,0,2,2,"0",NA,"","50","65","65","2","","1","","5","","21","3","","90",2,2,1
"118","human","no",100,82,3,50,50,50,50,50,50,1,2,"0",NA,"","100","100","100","1","Replika","2","","4","","21","3","","100",1,2,2.38629436111989
"120","human","no",20,0,5,50,50,0,0,0,100,1,2,"0",NA,"","0","0","0","2","","2","","3","","47","3","","50",1,2,2.79175946922805
"121","human","no",5,5,1.99,0,29,27,13,6,100,1,2,"0",NA,"","78","63","67","2","","1","","3","","40","5","","68",1,2,2.0952733874026
"122","ai","no",70,10,3,40,94,93,60,20,100,2,2,"0",NA,"","80","40","90","2","N/A","1","","3","","37","4","","80",2,2,2.38629436111989
"124","ai","no",40,0,2,90,90,70,100,60,100,2,2,"0",NA,"","40","60","65","2","","1","","3","","44","3","","73",2,2,2.09861228866811
"127","human","no",8,8,10,100,0,0,100,100,100,1,2,"0",NA,"","83","3","3","2","","2","","3","","38","3","","0",1,2,3.39789527279837
"128","human","no",70,40,5,90,100,100,90,50,90,1,2,"0",NA,"","90","95","85","2","","2","","4","","34","2","","75",1,2,2.79175946922805
"129","ai","no",40,0,0.11,25,80,60,75,65,100,2,2,"0",NA,"","25","35","35","2","","1","","3","","27","3","","65",2,2,1.10436001532424
"130","human","no",0,0,0,100,0,0,0,0,100,1,2,"0",NA,"","75","75","75","2","","2","","3","","53","4","","0",1,2,1
"131","ai","no",64,10,0,100,79,85,100,86,100,2,2,"0",NA,"","3","0","5","2","n/a","2","","4","","45","3","","15",2,2,1
"132","human","no",14,16,5,96,64,28,50,0,100,1,2,"0",NA,"","71","59","66","2","","2","","3","","29","5","","66",1,2,2.79175946922805
"133","human","no",8,0,0,82,24,21,0,8,80,1,2,"0",NA,"","13","10","9","2","","2","","1","","32","5","","0",1,2,1
"136","ai","no",80,0,1.99,50,100,100,100,0,100,2,2,"0",NA,"","30","40","20","2","","2","","3","","45","1","","85",2,2,2.0952733874026
"137","human","no",9,10,3.99,10,10,20,19,18,91,1,2,"0",NA,"","50","30","40","2","","1","","3","","40","4","","50",1,2,2.60743590976343
"139","human","no",62,36,3,34,67,60,33,72,42,1,2,"0",NA,"","21","12","29","2","n/a","1","","1","","50","5","","65",1,2,2.38629436111989
"140","ai","no",21,0,1,98,51,88,100,24,100,2,2,"0",NA,"","10","28","13","2","","2","","3","","52","3","","69",2,2,1.69314718055995
"141","human","no",55,14,0,20,84,65,0,8,96,1,2,"0",NA,"","90","61","92","2","","2","","3","","45","5","","3",1,2,1
"142","ai","no",0,0,0,100,100,50,100,50,100,2,2,"0",NA,"","0","0","0","2","","1","","3","","70","5","","75",2,2,1
"144","human","no",1,0,0,80,50,50,18,29,66,1,2,"0",NA,"","0","0","0","2","","2","","3","","45","5","","27",1,2,1
"145","human","no",20,0,0,50,50,50,50,50,50,1,2,"0",NA,"","11","0","8","2","","2","","3","","56","1","","92",1,2,1
"147","ai","no",20,0,0.25,75,90,60,75,25,100,2,2,"0",NA,"","60","80","70","2","","2","","2","","32","4","","70",2,2,1.22314355131421
"150","ai","no",80,5,0,70,75,50,5,50,100,2,2,"0",NA,"","50","50","50","1","I've used Replika before.","3","","6","Prefer not to disclose","39","8","prefer not to disclose","50",2,2,1
"151","ai","no",40,10,2,80,80,70,81,80,100,2,2,"0",NA,"","34","40","45","2","","1","","3","","36","4","","40",2,2,2.09861228866811
"153","human","no",9,13,5.95,18,19,0,0,0,1,1,2,"0",NA,"","1","12","12","2","","2","","3","","29","1","","100",1,2,2.9387416595767
"154","human","no",6,0,2,50,53,31,21,63,93,1,2,"0",NA,"","32","16","73","1","i once used a chat app with an AI that shaped itself around talking to you, it was called Replika","1","","5","","19","3","","50",1,2,2.09861228866811
"155","ai","no",15,0,1,100,90,90,100,70,100,2,2,"0",NA,"","40","20","60","2","","1","","3","","60","5","","75",2,2,1.69314718055995
"156","human","no",100,0,1,50,20,30,0,0,100,1,2,"0",NA,"","65","40","80","2","","2","","3","","46","4","","20",1,2,1.69314718055995
"157","ai","no",13,12,5,100,79,82,90,60,88,2,2,"0",NA,"","8","10","20","2","","2","","2","","71","4","","62",2,2,2.79175946922805
"159","human","no",35,10,6.99,28,74,55,15,16,83,1,2,"0",NA,"","16","69","61","2","","1","","3","","43","4","","67",1,2,3.07819075977818
"160","human","no",13,0,4.99,30,27,14,22,18,18,1,2,"0",NA,"","11","32","44","2","","2","","3","","38","4","","34",1,2,2.79009141212736
"161","ai","no",0,0,1,100,100,100,100,50,100,2,2,"0",NA,"","80","0","50","2","","2","","3","","31","1","","90",2,2,1.69314718055995
"162","ai","no",0,0,0,100,100,100,100,4,100,2,2,"0",NA,"","86","72","74","2","","2","","2","","27","4","","68",2,2,1
"164","human","no",66,35,5,70,39,65,75,72,75,1,2,"0",NA,"","62","65","63","1","For a job I applied for recently, they had an AI chatbot instead of just going to Workday for example","2","","3","","45","4","","72",1,2,2.79175946922805
"165","ai","no",60,40,5,60,55,60,40,40,60,2,2,"0",NA,"","30","40","50","2","","1","","3","","25","1","","70",2,2,2.79175946922805
"166","ai","no",100,50,1,40,100,82,41,20,92,2,2,"0",NA,"","40","40","40","2","","2","","3","","65","3","","90",2,2,1.69314718055995
"167","human","no",0,0,0,100,70,12,16,23,100,1,2,"0",NA,"","98","75","98","2","","2","","3","","46","3","","50",1,2,1
"168","ai","no",50,0,1,100,77,50,100,0,100,2,2,"0",NA,"","0","8","8","2","","1","","3","","34","4","","49",2,2,1.69314718055995
"170","human","no",20,0,5,30,60,10,0,0,80,1,2,"0",NA,"","10","0","0","2","","1","","3","","51","3","","80",1,2,2.79175946922805
"171","ai","no",9,0,0,100,29,90,100,40,100,2,2,"0",NA,"","9","26","51","2","","2","","4","","28","3","","90",2,2,1
"172","human","no",70,55,8,35,30,30,20,35,55,1,2,"0",NA,"","60","50","45","2","","1","","3","","30","4","","60",1,2,3.19722457733622
"173","human","no",20,9,3.99,61,71,60,29,80,100,1,2,"0",NA,"","40","71","60","2","","2","","1","","22","4","","10",1,2,2.60743590976343
"175","human","no",65,8,5,16,81,29,25,38,74,1,2,"0",NA,"","0","62","37","2","","2","","3","","21","3","","63",1,2,2.79175946922805
"177","human","no",24,71,5,74,56,69,10,15,58,1,2,"0",NA,"","9","11","7","2","","2","","3","","44","3","","34",1,2,2.79175946922805
"178","ai","no",65,25,4,56,75,82,93,15,88,2,2,"0",NA,"","35","20","12","2","","1","","3","","47","4","","77",2,2,2.6094379124341
"181","ai","no",0,0,0,97,0,24,100,100,99,2,2,"0",NA,"","0","0","0","2","","2","","3","","19","3","","92",2,2,1
"182","human","no",50,50,2.99,20,0,0,0,0,0,1,2,"0",NA,"","40","15","0","2","","1","","1","","45","1","","75",1,2,2.38379123090177
"184","human","no",28,5,2,65,43,22,8,36,95,1,2,"0",NA,"","64","68","68","2","","2","","3","","35","2","","17",1,2,2.09861228866811
"185","human","no",10,10,1.99,55,65,55,25,15,55,1,2,"0",NA,"","5","15","10","2","","2","","3","","44","4","","35",1,2,2.0952733874026
"187","human","no",35,35,0,25,50,50,50,35,100,1,2,"0",NA,"","1","2","75","2","","2","","3","","52","5","","50",1,2,1
"188","ai","no",9,9,0,84,56,50,92,66,91,2,2,"0",NA,"","21","23","16","2","","2","","3","","47","3","","50",2,2,1
"189","human","no",20,0,0,100,52,0,0,100,0,1,2,"0",NA,"","0","0","0","2","","2","","4","","41","4","","50",1,2,1
"190","ai","no",85,59,1,72,65,68,68,67,19,2,2,"0",NA,"","3","69","65","2","","1","","3","","31","3","","65",2,2,1.69314718055995
"191","human","no",71,0,5,50,30,0,0,83,0,1,2,"0",NA,"","20","20","20","2","","2","","3","","60","1","","50",1,2,2.79175946922805
"192","ai","no",100,0,0,50,100,100,100,0,100,2,2,"0",NA,"","100","100","100","2","n/a","2","","4","","28","1","","50",2,2,1
"193","ai","no",0,0,1,0,71,74,100,19,82,2,2,"0",NA,"","88","88","83","2","","2","","3","","63","3","","4",2,2,1.69314718055995
"194","ai","no",14,55,5,86,97,100,100,38,0,2,2,"0",NA,"","22","7","10","2","","1","","3","","53","4","","1",2,2,2.79175946922805
"195","human","no",10,9,0,82,28,8,80,82,100,1,2,"0",NA,"","18","4","14","2","","1","","3","","61","4","","82",1,2,1
"196","human","no",100,0,8,0,100,48,0,0,100,1,2,"0",NA,"","61","100","87","2","","2","","1","","26","3","","17",1,2,3.19722457733622
"197","ai","no",19,4,0,73,4,70,89,3,100,2,2,"0",NA,"","35","19","25","2","","2","","3","","44","5","","74",2,2,1
"198","human","no",0,0,0,50,15,0,0,0,100,1,2,"0",NA,"","2","4","8","2","","2","","3","","30","5","","30",1,2,1
"199","ai","no",71,33,0,50,73,34,85,50,85,2,2,"0",NA,"","50","41","32","2","","2","","3","","46","4","","79",2,2,1
"200","human","no",0,0,0,90,50,50,50,50,62,1,2,"0",NA,"","5","8","4","2","","2","","3","","38","5","","44",1,2,1
"202","human","no",60,65,5,20,65,65,20,85,100,1,2,"0",NA,"","35","30","30","2","","1","","3","","29","4","","10",1,2,2.79175946922805
"203","ai","no",77,0,5,50,100,100,65,50,100,2,2,"0",NA,"","85","79","100","2","","2","","3","","18","1","","65",2,2,2.79175946922805
"204","human","no",70,50,5,16,60,50,3,86,27,1,2,"0",NA,"","70","70","70","2","","2","","3","","31","3","","62",1,2,2.79175946922805
"205","ai","no",15,0,0,100,100,100,100,0,100,2,2,"0",NA,"","73","68","70","2","","2","","3","","25","2","","60",2,2,1
"206","ai","no",61,0,2,100,100,100,100,20,100,2,2,"0",NA,"","90","87","89","2","","2","","3","","42","1","","44",2,2,2.09861228866811
"207","human","no",15,0,0,45,29,23,55,46,66,1,2,"0",NA,"","57","61","60","2","none.","2","","2","","25","4","","73",1,2,1
"208","human","no",7,8,2.99,18,66,70,9,62,93,1,2,"0",NA,"","76","70","67","1","I tried out an app, do not remember the name though","2","","4","","22","4","","63",1,2,2.38379123090177
"209","ai","no",27,6,3,60,42,60,61,55,83,2,2,"0",NA,"","57","8","14","2","","2","","3","","23","5","","22",2,2,2.38629436111989
"210","human","no",3,0,0,48,20,28,61,32,69,1,2,"0",NA,"","15","52","50","2","","2","","1","","26","4","","40",1,2,1
"211","ai","no",30,0,1.99,100,90,100,100,100,100,2,2,"0",NA,"","0","0","0","2","","2","","3","","34","3","","0",2,2,2.0952733874026
"212","ai","no",62,9,1,91,99,63,62,61,0,2,2,"0",NA,"","72","82","71","2","","2","","3","","51","3","","82",2,2,1.69314718055995
"213","human","no",31,61,6,10,38,58,13,26,26,1,2,"0",NA,"","6","4","5","2","","1","","3","","27","1","","72",1,2,2.94591014905531
"310","ai","yes",0,0,0,100,75,92,100,50,100,2,2,NA,3,"","67","77","73","2","","2",NA,"3",NA,"45","4",NA,"1",2,1,1
"410","ai","yes",100,100,2,5,100,100,0,100,100,2,2,NA,4,"","88","100","100","1","Cortana, Siri, Alexa","2",NA,"2",NA,"31","4",NA,"100",2,1,2.09861228866811
"812","ai","yes",81,0,5,67,100,100,74,100,100,2,2,NA,8,"","8","17","24","2","","1",NA,"3",NA,"34","4",NA,"0",2,1,2.79175946922805
"911","ai","yes",35,0,0,100,82,70,93,38,100,2,2,NA,9,"","29","29","36","2","","2",NA,"3",NA,"44","2",NA,"82",2,1,1
"1211","ai","yes",74,0,1,87,92,92,100,32,100,2,2,NA,12,"","6","74","91","1","I tried an AI friend app a few years ago, but I forgot what it was called","2",NA,"3",NA,"43","1",NA,"62",2,1,1.69314718055995
