"","X","Unnamed..0.1","Unnamed..0","agent_cond","interact_cond","willing_friend","willing_romantic","wtp","true","talk_listen","not_judge","emotion","understand","body","comp1","comp2","belief","worker_id","explain","loneliness_1_1","loneliness_2_1","loneliness_3_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","agent_cond_n","interact_cond_n","wtp_logged","AppendedHumanMessages","AppendedAIMessages","FullChatlog","HumanMessageCount","AIMessageCount","HumanWordCounts","AIWordCounts","AvgHumanWordCount","AvgAIWordCount","SumHumanCharCount","SumAICharCount","ResponseTimes","AICompoundSentiments","HumanCompoundSentiments","AvgAICompoundSentiment","AvgHumanCompoundSentiment","AvgResponseTime","AvgSimSpacy","AvgSimTurnLength","AvgSimValence","AvgSimStyleMatching"
"1",0,163,310,"ai","yes",0,0,0,100,75,92,100,50,100,2,2,NA,1,"",67,77,73,2,"",2,NA,3,NA,45,4,NA,1,2,1,1,"Anonymized","Anonymized","Anonymized",15,16,"[3, 33, 21, 7, 46, 54, 35, 44, 13, 14, 45, 43, 9, 3, 35]","[5, 8, 19, 19, 27, 28, 22, 19, 31, 19, 24, 19, 19, 19, 17, 65]",27,22.5,2076,1923,"[8.581432, 38.401118000000004, 26.479130000000005, 18.686788999999997, 69.411903, 65.558127, 50.935632, 47.357049, 117.399707, 2.5221400000000003, 35.582896, 133.419475, -4.296538, -10.190678, 51.54180100000001]","[0.0, 0.6588, 0.9324, 0.9324, 0.4005, 0.6124, 0.7184, 0.9324, 0.6801, 0.7269, 0.5551, 0.8716, 0.8716, 0.8716, 0.5423, 0.9253]","[0.2263, 0.4939, -0.0464, 0.0, 0.0, 0.7239, 0.0, 0.795, -0.2023, 0.0, -0.3612, -0.7876, 0.0, -0.296, 0.902]",0.7019875,0.0965066666666666,43.4259988666667,78.0009238686568,66.7197270253551,73.5448428174512,84.9828698832967
"2",1,164,410,"ai","yes",100,100,2,5,100,100,0,100,100,2,2,NA,2,"",88,100,100,1,"Cortana, Siri, Alexa",2,NA,2,NA,31,4,NA,100,2,1,2.09861228866811,"Anonymized","Anonymized","Anonymized",14,15,"[6, 18, 8, 15, 23, 7, 12, 40, 29, 24, 12, 27, 15, 7]","[5, 17, 8, 19, 10, 18, 10, 97, 112, 72, 50, 59, 91, 65, 21]",17.3571428571429,43.6,1260,3568,"[9.32346, 36.49590500000001, 28.932481999999997, 26.688042000000003, 37.646256, 20.046704, 29.727368, 44.703801000000006, 67.854451, 70.519248, 20.433428, 69.95328800000001, 52.319104, 24.285456000000003]","[0.0, 0.5707, -0.296, 0.5551, 0.5244, 0.6239, -0.636, 0.8459, 0.7115, 0.648, 0.954, 0.9493, 0.907, 0.3464, 0.792]","[0.4927, 0.0, 0.7889, 0.4588, -0.1528, 0.5859, 0.0, 0.8176, -0.0114, 0.8588, 0.0, 0.9041, -0.2263, 0.6597]",0.499746666666667,0.369714285714286,38.4949280714286,84.4499297615872,59.3933607120358,81.0243138962133,74.496341751646
"3",2,165,812,"ai","yes",81,0,5,67,100,100,74,100,100,2,2,NA,3,"",8,17,24,2,"",1,NA,3,NA,34,4,NA,0,2,1,2.79175946922805,"Anonymized","Anonymized","Anonymized",16,17,"[7, 25, 16, 25, 25, 26, 27, 6, 33, 6, 24, 7, 25, 18, 6, 10]","[5, 17, 46, 17, 30, 18, 32, 21, 38, 24, 20, 31, 37, 21, 18, 6, 34]",17.875,24.4117647058824,1465,2258,"[6.098611, 31.186275, 33.485038, 46.17054400000001, 48.956174000000004, 59.252122, 55.424685999999994, 29.381315, 57.44305, 32.608496, 50.046666, 23.756772, 55.435332, 33.391777999999995, 26.233921000000002, 29.636513]","[0.0, 0.8356, 0.869, 0.0, 0.8135, 0.9657, 0.9724, 0.892, 0.968, 0.9448, 0.959, 0.9311, 0.9555, 0.8883, 0.9125, -0.296, 0.9558]","[0.4404, 0.5411, 0.4005, 0.4574, 0.6369, 0.8588, 0.7783, 0.75, 0.8043, 0.4588, 0.8126, 0.636, 0.6369, 0.8858, 0.0, 0.4588]",0.739247058823529,0.5972875,38.6567058125,77.4932848755523,72.8443187929943,89.9017835122496,70.9947359919824
"4",3,166,911,"ai","yes",35,0,0,100,82,70,93,38,100,2,2,NA,4,"",29,29,36,2,"",2,NA,3,NA,44,2,NA,82,2,1,1,"Anonymized","Anonymized","Anonymized",24,25,"[6, 10, 10, 8, 6, 6, 8, 7, 7, 20, 8, 3, 7, 7, 4, 3, 14, 13, 5, 9, 22, 17, 15, 9]","[5, 13, 9, 19, 10, 48, 24, 28, 28, 22, 18, 15, 4, 46, 14, 21, 18, 29, 15, 22, 21, 15, 23, 14, 13]",9.33333333333333,19.76,1057,2765,"[8.125039, 13.579345, 22.842976, 12.060594, 8.250615, 17.512156000000004, 13.75423, 25.837287999999997, 16.954247, 30.952308, 20.042398, 8.633641, 23.127486, 18.701939, 14.061026, 13.920321, 27.963221000000004, 43.432055, 18.620407, 17.448071000000002, 38.252826999999996, 26.091776000000003, 35.522431000000005, 15.311281]","[0.0, 0.8016, 0.6588, 0.8906, 0.944, 0.9173, 0.8618, 0.9453, 0.9453, 0.8904, 0.8513, 0.8955, 0.7177, 0.937, 0.953, 0.8268, 0.8975, 0.8805, 0.9401, 0.4164, 0.8705, 0.9551, 0.9545, 0.9458, 0.8553]","[0.6249, 0.0, 0.0, 0.7876, 0.0, 0.0, 0.4939, -0.2755, 0.4404, -0.1531, 0.0, 0.296, 0.0, 0.0, 0.3612, 0.0, 0.7184, 0.6908, 0.4588, 0.0, 0.6369, 0.539, 0.2144, 0.4754]",0.830084,0.262879166666667,20.4582365833333,74.4331175521973,61.6821301155262,79.2948525702136,67.5137831216663
"5",4,167,1211,"ai","yes",74,0,1,87,92,92,100,32,100,2,2,NA,5,"",6,74,91,1,"I tried an AI friend app a few years ago, but I forgot what it was called",2,NA,3,NA,43,1,NA,62,2,1,1.69314718055995,"Anonymized","Anonymized","Anonymized",15,16,"[7, 12, 8, 5, 12, 2, 28, 22, 19, 9, 5, 6, 4, 7, 11]","[5, 11, 14, 31, 26, 37, 15, 26, 27, 20, 3, 10, 14, 2, 30, 4]",10.4666666666667,17.1875,820,1478,"[35.598518, 26.661474, 21.75853, 37.556121000000005, 54.355499, 25.461416000000003, 74.074443, 64.328415, 60.452496999999994, 24.881104999999998, 54.622432, 9.677467, -0.7893360000000005, 36.505249, 30.903858999999997]","[0.0, 0.5093, 0.7777, 0.555, 0.8622, 0.798, 0.8313, 0.8685, 0.6476, 0.9397, 0.4574, 0.8908, 0.8687, 0.6114, 0.9595, 0.5837]","[0.5574, 0.0, 0.0, 0.4019, 0.3182, 0.4754, 0.6369, -0.2263, 0.4019, 0.6908, 0.0, -0.34, 0.3612, 0.0, 0.8442]",0.69755,0.274773333333333,37.0698459333333,70.1035137753777,62.2653177018862,81.3996275020985,67.1678749465165
"6",5,168,1311,"ai","yes",90,0,4.25,50,90,50,50,10,100,2,2,NA,6,"",50,50,50,2,"",2,NA,5,NA,42,2,NA,50,2,1,2.65822807660353,"Anonymized","Anonymized","Anonymized",12,12,"[1, 17, 30, 6, 6, 7, 12, 9, 16, 9, 9, 7]","[58, 49, 43, 26, 60, 45, 54, 56, 77, 58, 40, 31]",10.75,49.75,679,3235,"[44.588972, 78.359647, 27.357286999999996, 13.739353, 31.393445, 50.251402999999996, 43.386125, 54.095266, 60.03259500000001, 26.837463, 20.494529999999997]","[0.9356, 0.8992, 0.9672, 0.8805, 0.9412, 0.8748, 0.9492, 0.0, 0.9722, 0.9668, 0.9111, 0.9754]","[0.0, 0.3612, 0.4404, 0.0, 0.0, 0.0, 0.4576, 0.0, 0.6478, 0.0, 0.3612, 0.6705]",0.8561,0.244891666666667,40.957826,76.4434936695475,34.8092342200237,78.5788793159546,63.7707359879857
"7",6,169,1511,"human","yes",15,0,0,81,92,95,50,50,100,1,2,1,7,"",3,7,3,2,"",2,NA,3,NA,60,4,NA,30,1,1,1,"Anonymized","Anonymized","Anonymized",11,12,"[5, 13, 16, 19, 27, 7, 12, 26, 22, 12, 8]","[5, 18, 29, 77, 25, 20, 3, 31, 21, 14, 9, 17]",15.1818181818182,22.4166666666667,893,1468,"[49.268699, 68.392951, 52.000966, 57.22155300000001, 98.895267, 44.841015, 42.441221000000006, 84.644771, 64.811687, 69.16925499999999, 39.309636000000005]","[0.0, 0.4926, 0.8858, 0.5411, 0.8381, 0.7003, 0.0, 0.7182, 0.7577, 0.5859, 0.2003, 0.8439]","[0.75, 0.6757, 0.8316, 0.8957, 0.888, -0.4767, 0.7579, 0.3595, 0.7579, 0.4404, 0.8402]",0.546991666666667,0.610927272727273,60.9997291818182,81.8168408946795,73.6647368195495,88.5061270387515,84.3595840147758
"8",7,170,1811,"human","yes",73,18,1,50,80,54,0,0,95,1,2,1,8,"",97,97,97,2,"",2,NA,1,NA,50,2,NA,92,1,1,1.69314718055995,"Anonymized","Anonymized","Anonymized",19,20,"[3, 1, 4, 10, 2, 6, 8, 14, 9, 8, 13, 9, 8, 9, 3, 11, 4, 3, 3]","[5, 11, 10, 20, 20, 17, 24, 41, 10, 39, 11, 43, 17, 12, 27, 15, 34, 10, 11, 9]",6.73684210526316,19.3,653,2032,"[14.831983999999999, 12.510250000000001, 35.905137, 43.442755, 13.632228000000001, 21.346345, 29.134531000000003, 56.77581900000001, 51.374243, 43.181166999999995, 49.992104999999995, 49.734905, 17.849662000000002, 23.577946, 10.043887000000002, 48.151283, 29.569213000000005, 30.014592, 17.663108]","[0.0, 0.902, 0.6588, 0.8019, 0.8335, 0.7274, 0.5902, 0.9421, 0.8685, 0.9001, 0.7177, 0.937, 0.6166, 0.0, 0.0, 0.5983, 0.7964, 0.5255, 0.4215, 0.7712]","[0.0, 0.2263, 0.0, -0.1027, 0.3612, 0.0, 0.0, 0.8313, 0.7579, 0.743, 0.4215, 0.6369, 0.0, 0.0, 0.1779, 0.7184, 0.3182, -0.296, 0.3182]",0.630435,0.269057894736842,31.5121663157895,21.7167777126817,50.0420520455696,85.9501177288019,36.2853863151621
"9",8,171,1911,"ai","yes",50,0,0,30,50,60,50,45,100,2,2,NA,9,"",50,50,50,2,"",2,NA,5,NA,33,3,NA,100,2,1,1,"Anonymized","Anonymized","Anonymized",7,6,"[4, 7, 5, 12, 7, 10, 6]","[5, 13, 10, 12, 8, 19]",7.28571428571429,11.1666666666667,260,342,"[10.125578, 21.993955, -3.876157, 24.60114, 3.5849850000000005, 34.050925]","[0.0, 0.7959, 0.8832, 0.5707, 0.8122, 0.8313]","[0.25, 0.4588, 0.0, 0.6808, 0.4404, 0.6486, 0.5267]",0.648883333333333,0.429328571428571,15.080071,68.4454505659169,72.8823389081928,87.1328486810914,85.6287649476467
"10",9,172,201,"ai","yes",0,0,0,100,10,40,100,100,100,2,2,NA,10,"",3,3,7,2,"",1,NA,3,NA,54,5,NA,0,2,1,1,"Anonymized","Anonymized","Anonymized",21,22,"[5, 10, 13, 13, 8, 15, 13, 8, 6, 4, 2, 2, 7, 12, 3, 11, 4, 12, 12, 9, 2]","[5, 10, 15, 13, 15, 12, 14, 23, 29, 7, 7, 1, 4, 25, 9, 17, 6, 9, 14, 23, 11, 7]",8.14285714285714,12.5454545454545,825,1377,"[13.468477, 21.897321, 42.255936, 41.457365, 43.404651, 46.387097999999995, 38.704368, 53.920591, 15.746135000000002, 18.190949, 18.309215000000002, 12.903233, 31.921511000000002, 33.837859, 34.956958, 39.745307, 31.620010999999998, 36.800693, 42.460913, 25.139286000000006, 19.856811]","[0.0, 0.6588, 0.8979, 0.8439, 0.9041, 0.8622, 0.8217, 0.8622, 0.9078, 0.4926, 0.6892, 0.4926, 0.6588, 0.9058, 0.7177, 0.7901, 0.6588, 0.7257, 0.893, 0.8201, 0.807, 0.4926]","[0.5574, 0.4404, 0.3612, 0.4939, 0.3612, 0.6597, 0.3612, 0.0, 0.6997, 0.3612, 0.0, 0.4588, 0.0, 0.6124, 0.3612, 0.3612, 0.0, 0.7506, 0.0, 0.6808, 0.3612]",0.722845454545455,0.375338095238095,31.5706994285714,71.8768966378641,71.4894150859558,86.3659717866474,66.6989168934083
