Num docs:64, Num Vocabs:284, Total Words:6988
Removed Top words:  great like thank realli love
Iteration: 0000, LL per word: -9.432
Iteration: 0020, LL per word: -5.629
Iteration: 0040, LL per word: -5.557
Iteration: 0060, LL per word: -5.506
Iteration: 0080, LL per word: -5.544
Iteration: 0100, LL per word: -5.549
Iteration: 0120, LL per word: -5.522
Iteration: 0140, LL per word: -5.548
Iteration: 0160, LL per word: -5.546
Iteration: 0180, LL per word: -5.537
Iteration: 0200, LL per word: -5.507
Iteration: 0220, LL per word: -5.529
Iteration: 0240, LL per word: -5.538
Iteration: 0260, LL per word: -5.521
Iteration: 0280, LL per word: -5.491
Iteration: 0300, LL per word: -5.498
Iteration: 0320, LL per word: -5.521
Iteration: 0340, LL per word: -5.49
Iteration: 0360, LL per word: -5.504
Iteration: 0380, LL per word: -5.517
Iteration: 0400, LL per word: -5.493
Iteration: 0420, LL per word: -5.515
Iteration: 0440, LL per word: -5.534
Iteration: 0460, LL per word: -5.524
Iteration: 0480, LL per word: -5.499
Iteration: 0500, LL per word: -5.504
Iteration: 0520, LL per word: -5.537
Iteration: 0540, LL per word: -5.542
Iteration: 0560, LL per word: -5.514
Iteration: 0580, LL per word: -5.52
Iteration: 0600, LL per word: -5.523
Iteration: 0620, LL per word: -5.527
Iteration: 0640, LL per word: -5.547
Iteration: 0660, LL per word: -5.525
Iteration: 0680, LL per word: -5.529
Iteration: 0700, LL per word: -5.503
Iteration: 0720, LL per word: -5.509
Iteration: 0740, LL per word: -5.554
Iteration: 0760, LL per word: -5.54
Iteration: 0780, LL per word: -5.531
Iteration: 0800, LL per word: -5.541
Iteration: 0820, LL per word: -5.567
Iteration: 0840, LL per word: -5.487
Iteration: 0860, LL per word: -5.511
Iteration: 0880, LL per word: -5.527
Iteration: 0900, LL per word: -5.504
Iteration: 0920, LL per word: -5.528
Iteration: 0940, LL per word: -5.505
Iteration: 0960, LL per word: -5.51
Iteration: 0980, LL per word: -5.526
Iteration: 1000, LL per word: -5.522
