Num docs:125, Num Vocabs:462, Total Words:14225
Removed Top words:  great like love realli think
Iteration: 0000, LL per word: -9.531
Iteration: 0020, LL per word: -5.934
Iteration: 0040, LL per word: -5.936
Iteration: 0060, LL per word: -5.92
Iteration: 0080, LL per word: -5.927
Iteration: 0100, LL per word: -5.915
Iteration: 0120, LL per word: -5.884
Iteration: 0140, LL per word: -5.892
Iteration: 0160, LL per word: -5.892
Iteration: 0180, LL per word: -5.902
Iteration: 0200, LL per word: -5.884
Iteration: 0220, LL per word: -5.883
Iteration: 0240, LL per word: -5.888
Iteration: 0260, LL per word: -5.9
Iteration: 0280, LL per word: -5.899
Iteration: 0300, LL per word: -5.925
Iteration: 0320, LL per word: -5.888
Iteration: 0340, LL per word: -5.921
Iteration: 0360, LL per word: -5.879
Iteration: 0380, LL per word: -5.884
Iteration: 0400, LL per word: -5.892
Iteration: 0420, LL per word: -5.903
Iteration: 0440, LL per word: -5.888
Iteration: 0460, LL per word: -5.887
Iteration: 0480, LL per word: -5.902
Iteration: 0500, LL per word: -5.885
Iteration: 0520, LL per word: -5.891
Iteration: 0540, LL per word: -5.858
Iteration: 0560, LL per word: -5.886
Iteration: 0580, LL per word: -5.901
Iteration: 0600, LL per word: -5.912
Iteration: 0620, LL per word: -5.884
Iteration: 0640, LL per word: -5.883
Iteration: 0660, LL per word: -5.901
Iteration: 0680, LL per word: -5.907
Iteration: 0700, LL per word: -5.887
Iteration: 0720, LL per word: -5.903
Iteration: 0740, LL per word: -5.912
Iteration: 0760, LL per word: -5.909
Iteration: 0780, LL per word: -5.902
Iteration: 0800, LL per word: -5.9
Iteration: 0820, LL per word: -5.899
Iteration: 0840, LL per word: -5.918
Iteration: 0860, LL per word: -5.904
Iteration: 0880, LL per word: -5.918
Iteration: 0900, LL per word: -5.918
Iteration: 0920, LL per word: -5.889
Iteration: 0940, LL per word: -5.896
Iteration: 0960, LL per word: -5.927
Iteration: 0980, LL per word: -5.924
Iteration: 1000, LL per word: -5.914
