Num docs:61, Num Vocabs:244, Total Words:5692
Removed Top words:  great like love think realli
Iteration: 0000, LL per word: -9.428
Iteration: 0020, LL per word: -5.526
Iteration: 0040, LL per word: -5.509
Iteration: 0060, LL per word: -5.465
Iteration: 0080, LL per word: -5.427
Iteration: 0100, LL per word: -5.437
Iteration: 0120, LL per word: -5.459
Iteration: 0140, LL per word: -5.458
Iteration: 0160, LL per word: -5.409
Iteration: 0180, LL per word: -5.411
Iteration: 0200, LL per word: -5.366
Iteration: 0220, LL per word: -5.407
Iteration: 0240, LL per word: -5.405
Iteration: 0260, LL per word: -5.428
Iteration: 0280, LL per word: -5.436
Iteration: 0300, LL per word: -5.439
Iteration: 0320, LL per word: -5.42
Iteration: 0340, LL per word: -5.469
Iteration: 0360, LL per word: -5.466
Iteration: 0380, LL per word: -5.454
Iteration: 0400, LL per word: -5.409
Iteration: 0420, LL per word: -5.411
Iteration: 0440, LL per word: -5.415
Iteration: 0460, LL per word: -5.407
Iteration: 0480, LL per word: -5.441
Iteration: 0500, LL per word: -5.448
Iteration: 0520, LL per word: -5.422
Iteration: 0540, LL per word: -5.447
Iteration: 0560, LL per word: -5.4
Iteration: 0580, LL per word: -5.351
Iteration: 0600, LL per word: -5.373
Iteration: 0620, LL per word: -5.391
Iteration: 0640, LL per word: -5.409
Iteration: 0660, LL per word: -5.431
Iteration: 0680, LL per word: -5.44
Iteration: 0700, LL per word: -5.427
Iteration: 0720, LL per word: -5.406
Iteration: 0740, LL per word: -5.423
Iteration: 0760, LL per word: -5.388
Iteration: 0780, LL per word: -5.418
Iteration: 0800, LL per word: -5.389
Iteration: 0820, LL per word: -5.392
Iteration: 0840, LL per word: -5.406
Iteration: 0860, LL per word: -5.398
Iteration: 0880, LL per word: -5.443
Iteration: 0900, LL per word: -5.415
Iteration: 0920, LL per word: -5.441
Iteration: 0940, LL per word: -5.432
Iteration: 0960, LL per word: -5.434
Iteration: 0980, LL per word: -5.435
Iteration: 1000, LL per word: -5.431
