Num docs:64, Num Vocabs:192, Total Words:2682
Removed Top words:  like good think thank well
Iteration: 0000, LL per word: -9.936
Iteration: 0020, LL per word: -5.53
Iteration: 0040, LL per word: -5.526
Iteration: 0060, LL per word: -5.468
Iteration: 0080, LL per word: -5.435
Iteration: 0100, LL per word: -5.44
Iteration: 0120, LL per word: -5.515
Iteration: 0140, LL per word: -5.476
Iteration: 0160, LL per word: -5.418
Iteration: 0180, LL per word: -5.495
Iteration: 0200, LL per word: -5.458
Iteration: 0220, LL per word: -5.404
Iteration: 0240, LL per word: -5.49
Iteration: 0260, LL per word: -5.45
Iteration: 0280, LL per word: -5.467
Iteration: 0300, LL per word: -5.438
Iteration: 0320, LL per word: -5.475
Iteration: 0340, LL per word: -5.468
Iteration: 0360, LL per word: -5.456
Iteration: 0380, LL per word: -5.48
Iteration: 0400, LL per word: -5.493
Iteration: 0420, LL per word: -5.534
Iteration: 0440, LL per word: -5.442
Iteration: 0460, LL per word: -5.47
Iteration: 0480, LL per word: -5.478
Iteration: 0500, LL per word: -5.451
Iteration: 0520, LL per word: -5.399
Iteration: 0540, LL per word: -5.47
Iteration: 0560, LL per word: -5.504
Iteration: 0580, LL per word: -5.461
Iteration: 0600, LL per word: -5.469
Iteration: 0620, LL per word: -5.475
Iteration: 0640, LL per word: -5.429
Iteration: 0660, LL per word: -5.51
Iteration: 0680, LL per word: -5.483
Iteration: 0700, LL per word: -5.472
Iteration: 0720, LL per word: -5.484
Iteration: 0740, LL per word: -5.445
Iteration: 0760, LL per word: -5.514
Iteration: 0780, LL per word: -5.424
Iteration: 0800, LL per word: -5.487
Iteration: 0820, LL per word: -5.528
Iteration: 0840, LL per word: -5.47
Iteration: 0860, LL per word: -5.471
Iteration: 0880, LL per word: -5.422
Iteration: 0900, LL per word: -5.463
Iteration: 0920, LL per word: -5.465
Iteration: 0940, LL per word: -5.507
Iteration: 0960, LL per word: -5.474
Iteration: 0980, LL per word: -5.466
Iteration: 1000, LL per word: -5.475
