Num docs:125, Num Vocabs:367, Total Words:6793
Removed Top words:  like good work think go
Iteration: 0000, LL per word: -10.14
Iteration: 0020, LL per word: -6.089
Iteration: 0040, LL per word: -6.023
Iteration: 0060, LL per word: -5.993
Iteration: 0080, LL per word: -5.935
Iteration: 0100, LL per word: -5.985
Iteration: 0120, LL per word: -5.955
Iteration: 0140, LL per word: -5.916
Iteration: 0160, LL per word: -5.969
Iteration: 0180, LL per word: -5.989
Iteration: 0200, LL per word: -5.998
Iteration: 0220, LL per word: -5.968
Iteration: 0240, LL per word: -5.982
Iteration: 0260, LL per word: -5.938
Iteration: 0280, LL per word: -5.942
Iteration: 0300, LL per word: -5.925
Iteration: 0320, LL per word: -5.922
Iteration: 0340, LL per word: -5.909
Iteration: 0360, LL per word: -5.945
Iteration: 0380, LL per word: -5.951
Iteration: 0400, LL per word: -5.946
Iteration: 0420, LL per word: -5.918
Iteration: 0440, LL per word: -5.915
Iteration: 0460, LL per word: -5.925
Iteration: 0480, LL per word: -5.922
Iteration: 0500, LL per word: -5.935
Iteration: 0520, LL per word: -5.919
Iteration: 0540, LL per word: -5.946
Iteration: 0560, LL per word: -5.906
Iteration: 0580, LL per word: -5.932
Iteration: 0600, LL per word: -5.906
Iteration: 0620, LL per word: -5.932
Iteration: 0640, LL per word: -5.929
Iteration: 0660, LL per word: -5.929
Iteration: 0680, LL per word: -5.961
Iteration: 0700, LL per word: -5.938
Iteration: 0720, LL per word: -5.94
Iteration: 0740, LL per word: -5.886
Iteration: 0760, LL per word: -5.893
Iteration: 0780, LL per word: -5.938
Iteration: 0800, LL per word: -5.976
Iteration: 0820, LL per word: -5.887
Iteration: 0840, LL per word: -5.882
Iteration: 0860, LL per word: -5.919
Iteration: 0880, LL per word: -5.934
Iteration: 0900, LL per word: -5.928
Iteration: 0920, LL per word: -5.922
Iteration: 0940, LL per word: -5.924
Iteration: 0960, LL per word: -5.937
Iteration: 0980, LL per word: -5.916
Iteration: 1000, LL per word: -5.943
