Num docs:61, Num Vocabs:194, Total Words:2929
Removed Top words:  like good work time love
Iteration: 0000, LL per word: -9.894
Iteration: 0020, LL per word: -5.574
Iteration: 0040, LL per word: -5.518
Iteration: 0060, LL per word: -5.514
Iteration: 0080, LL per word: -5.475
Iteration: 0100, LL per word: -5.508
Iteration: 0120, LL per word: -5.502
Iteration: 0140, LL per word: -5.456
Iteration: 0160, LL per word: -5.473
Iteration: 0180, LL per word: -5.443
Iteration: 0200, LL per word: -5.414
Iteration: 0220, LL per word: -5.46
Iteration: 0240, LL per word: -5.45
Iteration: 0260, LL per word: -5.441
Iteration: 0280, LL per word: -5.463
Iteration: 0300, LL per word: -5.427
Iteration: 0320, LL per word: -5.414
Iteration: 0340, LL per word: -5.418
Iteration: 0360, LL per word: -5.434
Iteration: 0380, LL per word: -5.425
Iteration: 0400, LL per word: -5.462
Iteration: 0420, LL per word: -5.401
Iteration: 0440, LL per word: -5.47
Iteration: 0460, LL per word: -5.405
Iteration: 0480, LL per word: -5.454
Iteration: 0500, LL per word: -5.467
Iteration: 0520, LL per word: -5.408
Iteration: 0540, LL per word: -5.416
Iteration: 0560, LL per word: -5.414
Iteration: 0580, LL per word: -5.42
Iteration: 0600, LL per word: -5.429
Iteration: 0620, LL per word: -5.398
Iteration: 0640, LL per word: -5.404
Iteration: 0660, LL per word: -5.428
Iteration: 0680, LL per word: -5.42
Iteration: 0700, LL per word: -5.445
Iteration: 0720, LL per word: -5.452
Iteration: 0740, LL per word: -5.412
Iteration: 0760, LL per word: -5.408
Iteration: 0780, LL per word: -5.432
Iteration: 0800, LL per word: -5.422
Iteration: 0820, LL per word: -5.434
Iteration: 0840, LL per word: -5.424
Iteration: 0860, LL per word: -5.413
Iteration: 0880, LL per word: -5.442
Iteration: 0900, LL per word: -5.445
Iteration: 0920, LL per word: -5.429
Iteration: 0940, LL per word: -5.457
Iteration: 0960, LL per word: -5.384
Iteration: 0980, LL per word: -5.445
Iteration: 1000, LL per word: -5.452
