StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent_q,att_1,att_2,choice,entertain_person_3,lonely_person_3,novel_person_3,engage_person_3,comfort_person_3,interest_person_3,connect_person_3,entertain_chatbot_3,lonely_chatbot_3,novel_chatbot_3,engage_chatbot_3,comfort_chatbot_3,interest_chatbot_3,connect_chatbot_3,entertain_youtube_3,lonely_youtube_3,novel_youtube_3,engage_youtube_3,comfort_youtube_3,interest_youtube_3,connect_youtube_3,lonely_1_1,lonely_2_1,lonely_3_1,lonely_4_1,chatbot,chatbot_exp,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,edu,edu_8_TEXT,FL_24_DO,person_DO,chatbot_DO,youtube_DO
2/6/23 13:23,2/6/23 13:23,0,100,21,1,2/6/23 13:23,R_3oMHR82wA3JjbEc,anonymous,EN,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/23 13:24,2/6/23 13:24,0,100,22,1,2/6/23 13:24,R_3PYm3TOK1HJdfFb,anonymous,EN,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/23 13:24,2/6/23 13:24,0,100,43,1,2/6/23 13:24,R_1LBsK313wusHvGx,anonymous,EN,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/23 13:23,2/6/23 13:24,0,100,108,1,2/6/23 13:24,R_2wKN6rakJCQeYLC,anonymous,EN,1,2,2,2,91,81,81,64,88,71,91,86,95,94,82,84,84,96,88,65,76,84,79,61,78,1,1,2,1,1,i have ineracted with chatbox for bank questions,1,,3,,27,5,,chatbot|person|youtube,vign|engage_person|novel_person|connect_person|interest_person|entertain_person|comfort_person|lonely_person,vign|entertain_chatbot|comfort_chatbot|novel_chatbot|connect_chatbot|interest_chatbot|engage_chatbot|lonely_chatbot,vign|lonely_youtube|novel_youtube|comfort_youtube|entertain_youtube|interest_youtube|engage_youtube|connect_youtube
2/6/23 13:22,2/6/23 13:25,0,100,165,1,2/6/23 13:25,R_RIg3MDFfDpl6TL3,anonymous,EN,1,2,2,3,32,67,67,48,27,29,27,51,52,78,53,57,66,40,77,49,63,85,82,67,51,1,1,1,1,2,,2,,3,,40,1,,youtube|chatbot|person,vign|lonely_person|novel_person|engage_person|entertain_person|comfort_person|connect_person|interest_person,vign|comfort_chatbot|connect_chatbot|entertain_chatbot|novel_chatbot|interest_chatbot|lonely_chatbot|engage_chatbot,vign|entertain_youtube|lonely_youtube|comfort_youtube|novel_youtube|interest_youtube|engage_youtube|connect_youtube
2/6/23 13:22,2/6/23 13:25,0,100,160,1,2/6/23 13:25,R_pKGR6TRgSnN4MBX,anonymous,EN,1,2,2,3,10,41,50,49,25,50,40,34,0,36,0,0,0,0,100,21,93,82,100,100,51,1,1,2,1,1,I have interacted with chatbots for other mturk hits,2,,3,,43,1,,person|youtube|chatbot,vign|entertain_person|novel_person|comfort_person|interest_person|connect_person|lonely_person|engage_person,vign|connect_chatbot|novel_chatbot|engage_chatbot|interest_chatbot|lonely_chatbot|comfort_chatbot|entertain_chatbot,vign|interest_youtube|lonely_youtube|entertain_youtube|novel_youtube|comfort_youtube|engage_youtube|connect_youtube
2/6/23 13:23,2/6/23 13:25,0,100,92,1,2/6/23 13:25,R_3fBmofO3U5SY2Xm,anonymous,EN,1,2,2,3,52,52,48,73,65,66,75,61,8,35,37,27,62,4,67,35,24,22,55,61,82,1,1,2,2,1,I've talked to SmarterChild on AIM.,1,,2,,29,4,,chatbot|youtube|person,vign|entertain_person|engage_person|comfort_person|interest_person|connect_person|novel_person|lonely_person,vign|entertain_chatbot|interest_chatbot|engage_chatbot|novel_chatbot|lonely_chatbot|connect_chatbot|comfort_chatbot,vign|entertain_youtube|lonely_youtube|comfort_youtube|interest_youtube|novel_youtube|engage_youtube|connect_youtube
2/6/23 13:23,2/6/23 13:25,0,100,159,1,2/6/23 13:25,R_9sQodeD3vA2juIp,anonymous,EN,1,2,2,3,85,51,79,84,51,85,65,79,50,60,78,40,75,55,92,50,80,91,78,94,51,2,2,2,1,1,"When I have a question for a service provider, I will use a chatbot if no other options are available. ",1,,3,,56,4,,chatbot|youtube|person,vign|engage_person|interest_person|comfort_person|connect_person|lonely_person|novel_person|entertain_person,vign|lonely_chatbot|novel_chatbot|interest_chatbot|connect_chatbot|entertain_chatbot|engage_chatbot|comfort_chatbot,vign|comfort_youtube|entertain_youtube|interest_youtube|lonely_youtube|novel_youtube|engage_youtube|connect_youtube
2/6/23 13:23,2/6/23 13:26,0,100,134,1,2/6/23 13:26,R_2rwmfeGAFzXbzas,anonymous,EN,1,2,2,1,77,90,88,91,95,95,91,95,90,96,93,92,96,96,89,91,96,96,96,92,91,3,3,3,3,1,yes,1,,3,,45,5,,person|youtube|chatbot,vign|connect_person|entertain_person|engage_person|lonely_person|interest_person|novel_person|comfort_person,vign|lonely_chatbot|interest_chatbot|comfort_chatbot|novel_chatbot|engage_chatbot|connect_chatbot|entertain_chatbot,vign|interest_youtube|novel_youtube|entertain_youtube|comfort_youtube|lonely_youtube|engage_youtube|connect_youtube
2/6/23 13:23,2/6/23 13:26,0,100,182,1,2/6/23 13:26,R_2YteTVc3Y5Jflc9,anonymous,EN,1,2,2,2,91,86,92,94,82,61,89,100,68,99,100,99,96,72,46,32,44,52,83,44,22,1,1,1,1,1,"Early days of AIM you could chat with ""Smarterchild"", also several times with companies online they give you the option to chat with a bot to try to help you before involving a human customer service rep. ",2,,3,,31,4,,person|chatbot|youtube,vign|comfort_person|lonely_person|connect_person|engage_person|novel_person|entertain_person|interest_person,vign|connect_chatbot|lonely_chatbot|novel_chatbot|interest_chatbot|engage_chatbot|entertain_chatbot|comfort_chatbot,vign|entertain_youtube|interest_youtube|novel_youtube|comfort_youtube|lonely_youtube|engage_youtube|connect_youtube
