"","X","Unnamed..0","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","consent_q","att_1","att_2","entertain_predict_3","lonely_predict_3","novel_predict_3","engage_predict_3","comfort_predict_3","interest_predict_3","connect_predict_3","mturk_id","completion_code","entertain_exp_3","lonely_exp_3","novel_exp_3","engage_exp_3","comfort_exp_3","interest_exp_3","connected_exp_3","comp_1","comp2","lonely_1_3","lonely_2_3","lonely_3_3","lonely_4_3","ai_attitude_1_6","ai_attitude_2_1","ai_attitude_3_1","ai_attitude_4_1","ai_attitude_5_1","ai_attitude_6_1","ai_attitude_7_1","ai_attitude_8_1","ai_attitude_9_1","ai_attitude_10_1","ai_attitude_11_1","ai_attitude_12_1","ai_attitude_13_1","ai_attitude_14_1","ai_attitude_15_1","ai_attitude_16_1","chatbot","chatbot_exp","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","AppendedHumanMessages","AppendedAIMessages","FullChatlog","HumanMessageCount","AIMessageCount","HumanWordCounts","AIWordCounts","AvgHumanWordCount","AvgAIWordCount","ResponseTimes","AICompoundSentiments","HumanCompoundSentiments","AvgAICompoundSentiment","AvgHumanCompoundSentiment","AvgResponseTime","HumanTags","AITags","HumanTokenCounts","AITokenCounts","StyleMatching","AvgSimStyleMatching_x","HumanAISimSpacy","AIHumanSimSpacy","AvgSimSpacy_x","HumanAISimTurnLength","AIHumanSimTurnLength","AvgSimTurnLength_x","HumanAISimValence","AIHumanSimValence","AvgSimValence_x","AvgSimSpacy_y","AvgSimTurnLength_y","AvgSimValence_y","AvgSimStyleMatching_y"
"3",2,2,"2023-02-08 23:13:07","2023-02-08 23:13:39","0","100","32","1","2023-02-08 23:13:40","R_2CKvrby6fg4ATka","anonymous","EN","1","2","1","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Anonymized","Anonymized","Anonymized",0,0,"[]","[]",-1,-1,"[]","[]","[]",-1,-1,0,"Anonymized","Anonymized","{}","{}","{}",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"4",3,2,"2023-02-08 23:13:07","2023-02-08 23:13:39","0","100","32","1","2023-02-08 23:13:40","R_2CKvrby6fg4ATka","anonymous","EN","1","2","1","","","","","","","",2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Anonymized","Anonymized","Anonymized",0,0,"[]","[]",-1,-1,"[]","[]","[]",-1,-1,0,"Anonymized","Anonymized","{}","{}","{}",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"5",4,25,"2023-02-08 23:36:11","2023-02-08 23:36:32","0","100","21","1","2023-02-08 23:36:33","R_1OPRinJHn2uok7G","anonymous","EN","1","1","2","","","","","","","",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Anonymized","Anonymized","Anonymized",0,0,"[]","[]",-1,-1,"[]","[]","[]",-1,-1,0,"Anonymized","Anonymized","{}","{}","{}",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"6",5,25,"2023-02-08 23:36:11","2023-02-08 23:36:32","0","100","21","1","2023-02-08 23:36:33","R_1OPRinJHn2uok7G","anonymous","EN","1","1","2","","","","","","","",4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Anonymized","Anonymized","Anonymized",0,0,"[]","[]",-1,-1,"[]","[]","[]",-1,-1,0,"Anonymized","Anonymized","{}","{}","{}",-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1
"7",6,3,"2023-02-08 23:05:03","2023-02-08 23:27:49","0","100","1366","1","2023-02-08 23:27:50","R_1DpPz7x3qudjChK","anonymous","EN","1","2","2","81","21","82","70","92","80","51",5,"0289-2126-0040-2481","66","82","66","81","86","83","51","2","2","80","65","81","39","100","100","100","100","15","100","20","100","50","7","20","8","87","7","15","82","1","lots of websites have help chatbots. ","1","","3","","45","3","","Anonymized","Anonymized","Anonymized",34,34,"[2, 3, 4, 4, 5, 2, 8, 4, 5, 5, 4, 2, 2, 15, 6, 3, 12, 8, 7, 6, 6, 8, 1, 5, 1, 7, 6, 6, 5, 6, 2, 14, 8, 1]","[11, 13, 5, 10, 12, 12, 35, 20, 24, 12, 5, 5, 5, 6, 12, 12, 12, 12, 18, 41, 21, 8, 24, 13, 19, 9, 24, 14, 21, 17, 23, 73, 30, 4]",5.38235294117647,17.1176470588235,"[7.505336999999999, -1.1501579999999985, -0.3997919999999997, 2.3317109999999985, 3.753362000000001, -1.2656909999999986, 1.9030429999999967, -1.8664249999999996, 6.469418000000001, 14.092827000000003, 2.2179400000000005, 0.19559899999999963, -12.346324, -0.09774499999999975, -1.9165709999999994, -8.932456000000002, -4.852023999999998, 0.6626379999999994, 214.382285, 2.030467000000005, 3.4671280000000007, 8.725901, 13.139890000000005, 9.508841999999998, 6.938645, -2.8313749999999978, -0.20392099999999935, -2.846202, 0.9963239999999995, 11.132372000000002, -11.258563000000002, -4.798883]","[0.69, 0.4588, 0.0, 0.0, 0.1376, 0.1376, 0.6705, 0.624, 0.5859, 0.0, 0.0, 0.0, 0.0, -0.296, 0.1376, 0.1376, 0.1376, 0.1376, -0.0572, 0.6486, 0.3182, 0.0, 0.5423, 0.0, 0.4019, 0.6249, 0.5859, 0.0, 0.7096, -0.1531, 0.6771, -0.3818, 0.8945, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4019, 0.4019, 0.4019, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3612, 0.4019, 0.4767, 0.0, 0.0, 0.6249, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2732, 0.0, 0.0, 0.3802]",0.246167647058823,0.109523529411765,7.95898746875,"Anonymized","Anonymized","{'NNP': 10, 'EX': 1, 'PRP': 28, 'WP': 7, 'VBD': 7, 'VBP': 13, 'PRP$': 4, 'NNS': 10, 'POS': 1, 'WRB': 6, 'RB': 10, 'VB': 13, 'NN': 18, 'JJ': 6, 'TO': 2, 'UH': 2, ',': 2, 'IN': 19, 'DT': 10, 'VBN': 3, 'WDT': 2, 'CD': 4, 'VBZ': 4, 'MD': 6, 'JJR': 1, 'CC': 1}","{'NNP': 15, 'EX': 3, 'PRP': 72, 'VBP': 36, 'IN': 66, 'DT': 48, 'JJ': 50, 'NN': 81, 'UH': 4, ',': 23, 'MD': 19, 'VB': 40, 'PRP$': 11, 'NNS': 33, 'VBN': 10, 'WP': 1, 'VBD': 7, 'CC': 20, 'RB': 30, 'TO': 21, 'VBZ': 14, 'VBG': 10, 'RP': 3, 'JJS': 2, 'WRB': 1, 'JJR': 3, 'CD': 4, 'RBR': 3}","{'CC': 28.442437923250562, 'DT': 81.71206225680933, 'PRP': 87.35632183908046, 'PRP$': 90.67245119305856, 'WP': 8.2608695652174, 'IN': 97.67441860465115}",65.6864268970112,63.2495241950877,57.8987059472213,60.5741150711545,47.7964811174053,49.5952098958551,48.6958455066302,89.9298654073921,87.3638170138785,88.6468412106353,60.5741150711545,48.6958455066302,88.6468412106353,65.6864268970112
"8",7,4,"2023-02-08 23:08:57","2023-02-08 23:28:04","0","100","1147","1","2023-02-08 23:28:04","R_W0fLlLDRQI3CxNv","anonymous","EN","1","2","2","81","24","45","76","76","65","29",6,"8207-8917-9540-7575","95","86","76","83","100","82","88","3","2","50","55","55","50","82","87","75","78","50","56","50","91","50","24","13","9","56","24","4","50","2","","2","","2","","29","4","","Anonymized","Anonymized","Anonymized",21,22,"[14, 15, 3, 7, 4, 10, 5, 15, 16, 19, 13, 12, 19, 18, 18, 12, 5, 6, 15, 16, 4]","[5, 37, 11, 10, 28, 35, 14, 8, 13, 22, 18, 36, 20, 24, 22, 38, 31, 6, 34, 33, 26, 11]",11.7142857142857,21.9090909090909,"[-6.388929999999998, -11.769861000000002, -13.470604999999999, 19.268712, -0.5303509999999996, -5.6104759999999985, 42.401635000000006, -5.0409289999999976, -7.514485, 4.649663, 13.973913000000001, -5.279911999999992, -12.991472000000002, -13.072441000000005, 15.487444999999997, -6.047760999999998, -3.2464579999999934, 2.7324479999999998, 2.4743980000000008, -10.430924999999998, 16.414318]","[0.0, 0.862, 0.3987, 0.5574, 0.8845, 0.8271, -0.4479, 0.54, 0.0, 0.8922, 0.4019, 0.9714, 0.8655, 0.8687, -0.1232, 0.8901, 0.9484, 0.6892, 0.9054, 0.9629, 0.9671, 0.8854]","[-0.7182, 0.4199, 0.0, -0.0258, 0.7845, 0.0, 0.0, -0.296, 0.1263, 0.0, 0.6808, 0.0, 0.8016, -0.2755, 0.8823, 0.6996, 0.6369, 0.4588, 0.8173, 0.8863, 0.725]",0.624854545454545,0.314466666666667,0.762282190476192,"Anonymized","Anonymized","{'NN': 27, 'PRP': 39, 'VBP': 19, 'RB': 24, 'VB': 15, 'JJ': 20, 'IN': 18, 'DT': 16, 'WRB': 3, 'PRP$': 5, 'MD': 2, 'VBG': 9, 'UH': 2, 'VBN': 4, 'NNS': 3, 'VBD': 8, 'NNP': 20, 'VBZ': 11, 'POS': 1, ',': 3, 'JJS': 2, 'TO': 4, 'WP': 3, 'CD': 1, 'WDT': 1, 'CC': 1}","{'NNP': 16, 'NN': 47, 'WRB': 3, 'VBP': 41, 'PRP': 85, 'JJ': 35, 'TO': 16, 'VB': 32, 'IN': 42, 'RB': 63, ',': 26, 'VBG': 15, 'CC': 15, 'EX': 3, 'VBZ': 18, 'MD': 4, 'DT': 28, 'NNS': 14, 'UH': 8, 'VBD': 12, 'VBN': 9, 'CD': 4, 'WP': 2, 'PRP$': 2, 'WDT': 2, 'RP': 1, 'JJR': 1}","{'CC': 24.400089706212157, 'DT': 91.28153884586561, 'PRP': 97.76733254994126, 'PRP$': 32.20234423195559, 'WP': 48.46796657381617, 'IN': 94.36253252385082}",64.7469674052736,78.2346357624858,76.1061662598958,77.1704010111908,67.0947661404948,63.0232846971601,65.0590254188275,84.7313802075871,80.9372460905532,82.8343131490702,77.1704010111908,65.0590254188275,82.8343131490702,64.7469674052736
"9",8,5,"2023-02-08 23:07:45","2023-02-08 23:29:03","0","100","1278","1","2023-02-08 23:29:03","R_1IoUIZQed6Ev7mT","anonymous","EN","1","2","2","68","50","68","73","45","60","38",7,"5701-9269-0394-8940","74","55","70","74","64","69","68","2","2","9","15","54","43","50","50","54","71","81","31","62","73","100","50","71","45","30","83","51","32","1","On online stores like Amazon","2","","3","","40","1","","Anonymized","Anonymized","Anonymized",17,18,"[5, 4, 27, 23, 4, 33, 10, 27, 7, 6, 8, 43, 21, 4, 13, 14, 22]","[5, 9, 26, 18, 24, 18, 30, 26, 31, 19, 37, 15, 20, 37, 25, 18, 10, 29]",15.9411764705882,22.0555555555556,"[-1.1594750000000005, -0.2025029999999992, 3.9471830000000043, -5.931675, 16.380660000000002, 48.642109, -3.669915000000003, 44.21567700000001, -1.204430999999996, 4.504751000000001, 7.415895000000003, 18.543369, -12.151561999999998, 18.208133, -2.7561919999999986, 20.64504, 13.381611]","[0.0, 0.807, 0.7351, -0.4927, -0.128, 0.885, 0.8765, 0.7089, 0.261, 0.6406, 0.2023, 0.4019, 0.7845, 0.7413, 0.8115, 0.902, 0.5719, 0.4118]","[0.2263, 0.0, -0.0107, -0.4404, 0.0, 0.6249, 0.0, -0.2263, 0.4019, 0.3612, 0.0, 0.8524, -0.3566, 0.0, 0.5994, 0.0, 0.1445]",0.5067,0.128035294117647,9.92992205882353,"Anonymized","Anonymized","{'PRP': 44, 'VBP': 28, 'JJ': 20, 'WRB': 3, 'RB': 31, 'VBD': 2, 'UH': 2, ',': 6, 'WDT': 2, 'VBZ': 10, 'NN': 26, 'VBG': 16, 'IN': 32, 'PRP$': 4, 'VBN': 6, 'PDT': 2, 'DT': 15, 'VB': 12, 'RP': 3, 'CD': 1, 'JJS': 1, 'NNS': 5, 'MD': 4, 'JJR': 2, 'CC': 5, 'TO': 3, 'NNP': 4, 'WP': 1, 'RBR': 1}","{'NNP': 5, 'NN': 52, 'WRB': 3, 'VBP': 25, 'PRP': 49, 'VBG': 18, 'JJ': 29, ',': 19, 'NNS': 16, 'IN': 47, 'WP': 2, 'VBD': 1, 'VB': 40, 'CC': 14, 'TO': 16, 'JJR': 3, 'VBZ': 14, 'RB': 21, 'PRP$': 4, 'MD': 16, 'DT': 26, 'EX': 5, 'UH': 6, 'CD': 1, 'RP': 2, 'FW': 1, ':': 1, ')': 2, '(': 1}","{'CC': 70.02711756260966, 'DT': 93.06762772948908, 'PRP': 84.93819806403575, 'PRP$': 79.72602739726027, 'WP': 85.99412340842312, 'IN': 98.66185752930569}",85.4024919485206,76.7738832892838,75.2745847142801,76.024234001782,67.3502822070566,65.1147287801125,66.2325054935846,80.1817075079155,81.2773879437682,80.7295477258419,76.024234001782,66.2325054935846,80.7295477258419,85.4024919485206
"10",9,6,"2023-02-08 23:07:50","2023-02-08 23:29:11","0","100","1280","1","2023-02-08 23:29:12","R_1I9LscnOphzaNpD","anonymous","EN","1","2","2","82","71","90","82","70","90","82",8,"9485-2935-3544-7984","88","98","100","91","98","100","95","2","2","81","72","66","69","90","81","92","93","39","69","62","81","48","10","0","71","80","22","61","92","2","","1","","1","","46","5","","Anonymized","Anonymized","Anonymized",17,18,"[1, 1, 6, 4, 6, 16, 13, 13, 7, 8, 10, 13, 1, 4, 12, 9, 12]","[5, 5, 8, 22, 28, 57, 47, 15, 37, 23, 19, 35, 7, 27, 7, 30, 21, 14]",8,22.6111111111111,"[3.160705, 3.012696, 10.530193, -0.3954799999999974, 15.984393, 19.081674000000014, 21.830212999999997, 33.443287, 20.000364, 28.754677, 12.821425, 34.614378, 12.269434999999998, 14.029407000000003, 19.010218999999996, 23.628349999999998, 14.982502000000002]","[0.0, 0.4404, 0.6588, 0.8264, 0.4574, 0.7936, 0.4404, -0.5499, 0.9468, 0.7145, 0.9601, 0.9158, 0.8313, 0.8519, 0.4019, 0.9564, 0.937, 0.862]","[0.0, 0.4404, 0.4404, 0.0, 0.0, 0.4201, 0.7901, 0.4696, 0.0, 0.6369, 0.4019, 0.3612, 0.3182, 0.0, 0.7752, 0.7184, 0.7956]",0.635822222222222,0.38635294117647,16.8681434117647,"Anonymized","Anonymized","{'NNP': 3, 'JJ': 21, 'NN': 13, 'VBZ': 6, 'WP': 2, 'IN': 11, 'PRP': 21, 'RB': 8, 'MD': 4, 'VB': 7, 'DT': 7, 'VBP': 12, 'TO': 2, 'NNS': 8, 'WDT': 1, 'CC': 2, 'POS': 1, 'UH': 1, ',': 1, 'RP': 1}","{'NNP': 17, 'NN': 54, 'WRB': 2, 'VBP': 26, 'PRP': 35, 'JJ': 43, ',': 21, 'DT': 31, 'VBZ': 19, 'WP': 2, 'VBN': 12, 'RB': 20, 'TO': 13, 'VBG': 15, 'IN': 41, 'PRP$': 7, 'NNS': 24, 'CC': 17, 'EX': 7, 'WDT': 2, 'VBD': 4, 'VB': 22, 'MD': 8, 'UH': 4, 'PDT': 1, 'RBR': 1, 'RP': 2, 'CD': 2, '``': 6, ':': 1, ""''"": 6}","{'CC': 58.60113421550095, 'DT': 88.60759493670886, 'PRP': 64.23357664233578, 'PRP$': 0.0, 'WP': 44.221105527638194, 'IN': 97.17868338557993}",58.8070157846273,67.7271778794942,64.296278581427,66.0117282304606,48.400963024506,46.1602078610294,47.2805854427677,84.1079548399952,84.3174817342807,84.212718287138,66.0117282304606,47.2805854427677,84.212718287138,58.8070157846273
"11",10,7,"2023-02-08 23:08:03","2023-02-08 23:29:26","0","100","1282","1","2023-02-08 23:29:27","R_2B8JmIBiSCp2ewk","anonymous","EN","1","2","2","77","53","71","80","86","70","54",9,"7757-6319-9623-0530","95","91","70","85","95","98","80","2","2","19","16","69","2","100","96","100","100","66","96","66","100","37","34","20","9","75","57","13","49","1","I have used ChatGPT to get recipes a couple of times","2","","3","","39","3","","Anonymized","Anonymized","Anonymized",6,7,"[11, 29, 22, 50, 31, 41]","[5, 30, 27, 37, 49, 9, 26]",30.6666666666667,26.1428571428571,"[7.064581, 17.266900000000007, 14.997103000000006, 61.503439, 63.66580799999999, 237.75198600000002]","[0.0, 0.9305, 0.8955, 0.846, 0.9769, 0.119, 0.8176]","[0.7088, 0.9544, 0.5106, 0.9201, 0.9176, 0.9337]",0.655071428571429,0.8242,67.0416361666667,"Anonymized","Anonymized","{'NNP': 7, ',': 8, 'UH': 1, 'PRP': 24, 'VBP': 16, 'RB': 17, 'JJ': 9, 'WRB': 2, 'VBG': 10, 'NN': 19, 'IN': 17, 'TO': 8, 'VB': 7, 'VBD': 3, 'CC': 4, 'NNS': 13, 'DT': 14, 'MD': 1, 'PRP$': 4, 'WP': 2, 'VBN': 3, 'RBS': 1, 'CD': 2, 'VBZ': 3, 'JJS': 1}","{'NNP': 3, 'WRB': 1, 'VBP': 16, 'PRP': 28, 'UH': 5, ',': 12, 'VBG': 6, 'NN': 17, 'RB': 12, 'VBZ': 5, 'DT': 14, 'TO': 5, 'VB': 10, 'IN': 21, 'JJ': 20, 'CC': 3, 'MD': 1, 'NNS': 16, 'WP': 5, 'RP': 1, ':': 1, 'VBD': 1, 'PRP$': 1, 'JJS': 1, 'VBN': 2, 'CD': 1}","{'CC': 82.8169014084507, 'DT': 97.02970297029702, 'PRP': 95.26717557251908, 'PRP$': 38.132295719844365, 'WP': 59.59885386819484, 'IN': 92.42028227914271}",77.5442019697415,88.2212196715728,85.3846515814949,86.8029356265338,76.1197787819815,73.6105983029048,74.8651885424432,91.9223993878477,88.6233087137967,90.2728540508222,86.8029356265338,74.8651885424432,90.2728540508222,77.5442019697415
"12",11,8,"2023-02-08 23:07:30","2023-02-08 23:29:46","0","100","1335","1","2023-02-08 23:29:46","R_1hDUe1xgFOcW09d","anonymous","EN","1","2","2","60","53","70","70","55","75","60",10,"3937-7225-5863-5480","40","40","60","60","65","65","47","2","2","35","25","20","17","70","75","60","70","50","60","52","63","75","40","35","20","50","45","20","40","1","I used a chatbot app designed for learning more about mindfulness","2","","3","","40","4","","Anonymized","Anonymized","Anonymized",15,16,"[6, 7, 22, 52, 17, 9, 26, 18, 5, 34, 18, 7, 44, 7, 24]","[5, 17, 20, 20, 15, 21, 27, 16, 19, 18, 12, 15, 28, 15, 28, 13]",19.7333333333333,18.0625,"[4.185310999999999, 4.089182000000003, 24.372799, 11.257848999999993, -0.43630600000000186, 14.480239000000003, 15.503068999999993, 1.3442550000000022, 45.488037999999996, 24.282828000000002, -0.5725259999999999, 10.279733999999998, 5.6058879999999895, 12.486691999999998, 11.420587999999999]","[0.0, 0.8398, 0.923, 0.8516, 0.8687, 0.7088, 0.8997, 0.9215, 0.807, 0.831, 0.7901, 0.784, 0.8932, 0.8687, 0.5956, 0.807]","[0.2732, 0.0, 0.7579, 0.5984, 0.6369, 0.3612, 0.9134, 0.6249, 0.4939, 0.8641, 0.802, 0.4588, 0.3612, 0.4588, 0.2732]",0.77435625,0.525193333333333,12.2525093333333,"Anonymized","Anonymized","{'PRP': 25, 'VBP': 16, 'VBG': 9, 'RB': 35, ',': 9, 'WRB': 2, 'IN': 39, 'DT': 17, 'NN': 51, 'CC': 11, 'VBN': 2, 'JJ': 26, 'NNS': 28, 'MD': 5, 'VB': 13, 'WDT': 3, 'VBZ': 8, 'JJR': 1, 'TO': 4, 'WP': 2, 'VBD': 1, 'PRP$': 1, 'CD': 1, 'RP': 1}","{'NNP': 3, 'WRB': 2, 'VBP': 15, 'PRP': 35, 'JJ': 23, 'VBG': 6, 'DT': 43, 'NN': 30, 'IN': 25, 'VBZ': 13, 'WP': 1, 'VBN': 1, 'RB': 10, 'TO': 18, 'VB': 33, 'NNS': 24, 'MD': 9, 'CC': 5, 'EX': 1, ',': 2, 'CD': 1, 'PRP$': 1, 'JJR': 1, 'RBR': 1}","{'CC': 63.485562154413266, 'DT': 55.74373681077864, 'PRP': 82.22523744911805, 'PRP$': 98.85807504078304, 'WP': 67.68558951965066, 'IN': 79.21500485511321}",74.5355343049761,81.1315567650834,79.4264205054547,80.2789886352691,64.0871508085747,75.1671550744365,69.6271529415056,90.1668678031626,90.6188510394942,90.3928594213284,80.2789886352691,69.6271529415056,90.3928594213284,74.5355343049761
